nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
DESODORANTE AEROSSOL SUAVE FEMININO FRUTAS VERMELHAS E LICHIA 150ML;R$9,44;R$11,11;https://www.ultrafarma.com.br/desodorante-aerosol-suave-feminino-frutas-vermelhas-e-lichia-com-150ml;7791293034980
DESODORANTE AEROSOL NIVEA MASCULINO INVISIBLE BLACK AND WHITE FRESH 150ML;R$16,83;R$18,70;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-invisible-black-and-white-fresh-150ml;4005900449559
DESODORANTE AEROSSOL DOVE MEN CARE CUIDADO TOTAL 150ML;R$16,10;R$18,94;https://www.ultrafarma.com.br/desodorante-aerosol-dove-men-care-cuidado-total-com-150ml;7791293012087
DESODORANTE AEROSSOL ABOVE URBAN MASCULINO 150ML;R$11,12;R$12,36;https://www.ultrafarma.com.br/desodorante-aerosol-above-urban-masculino-150ml;7899674017109
DESODORANTE AEROSSOL ABOVE MAXX ENERGY FEMININO 250ML;R$13,32;R$16,65;https://www.ultrafarma.com.br/desodorante-aerossol-above-maxx-energy-feminino-250ml;7899674031501
DESODORANTE AEROSSOL ABOVE SPORT ENERGY FEMININO 150ML;R$11,12;R$12,36;https://www.ultrafarma.com.br/desodorante-aerosol-above-sport-energy-feminino-150ml;7899674022004
DESODORANTE AEROSOL REXONA CLINICAL SEM PERFUME 150ML;R$15,73;R$18,50;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-clinical-sem-perfume-150ml;7891150068728
DESODORANTE AEROSSOL ABOVE ELEMENTS HURRICANE MASCULINO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-elements-hurricane-masculino-150ml;7899674027504
DESODORANTE AEROSSOL ADIDAS MASCULINO CLIMACOOL 150ML;R$12,26;R$13,62;https://www.ultrafarma.com.br/desodorante-aerosol-adidas-masculino-climacool-com-150ml;7891350032963
DESODORANTE AEROSSOL BOZZANO MASCULINO POWER PROTECTION 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerossol-bozzano-masculino-power-protection-150ml;7891350037807
DESODORANTE ANTITRANSPIRANTE AEROSOL REXONA FEMININO ACTIVE EMOTION 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-antitranspirante-aerosol-rexona-feminino-active-emotion-150ml;7791293032443
DESODORANTE AEROSSOL BOZZANO MASCULINO INVISIBLE THERMO 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-bozzano-masculino-invisible-thermo-com-90g;7891350032970
DESODORANTE AEROSSOL ABOVE ELEMENTS CANYON MASCULINO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-elements-canyon-masculino-150ml;7899674027443
DESODORANTE ANTITRANSPIRANTE AEROSOL NIVEA DRY COMFORT 150ML;R$14,20;R$15,78;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-dry-com-94g;7791969016036
DESODORANTE AEROSSOL ABOVE ELEMENTS OCEAN MASCULINO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-elements-ocean-masculino-150ml;7899674027481
DESODORANTE AEROSSOL TABU OUSADA 150ML;R$9,96;R$11,07;https://www.ultrafarma.com.br/desodorante-aerosol-tabu-ousada-com-150ml;7896049508729
DESODORANTE AEROSSOL ABOVE POCKET SPORT ENERGY MASCULINO 100ML;R$7,40;R$8,22;https://www.ultrafarma.com.br/desodorante-aerosol-above-pocket-sport-energy-masculino-100ml;7899674024336
DESODORANTE AEROSSOL ABOVE LADY FEMININO 150ML;R$11,12;R$12,36;https://www.ultrafarma.com.br/desodorante-aerosol-above-lady-feminino-150ml;7899674017079
DESODORANTE AEROSOL NIVEA FEMININO DEOMILK SENSITIVE 150ML;R$16,27;R$18,08;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-deomilk-sensitive-150ml;4005900715814
DESODORANTE AEROSSOL ABOVE SEM PERFUME 150ML;R$11,12;R$12,36;https://www.ultrafarma.com.br/desodorante-aerosol-above-sem-perfume-150ml;7899674021946
DESODORANTE AEROSSOL SUAVE FEMININO INVISIBLE 150ML;R$9,44;R$11,11;https://www.ultrafarma.com.br/desodorante-aerosol-suave-feminino-invisible-com-150ml;7791293034973
DESODORANTE AEROSSOL REXONA MASCULINO ANTIBACTERIAL PROTECTION 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-antibacterial-protection-com-150ml;7791293025537
DESODORANTE AEROSSOL MONANGE FRUTAS VERMELHAS 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-monange-frutas-vermelhas-com-150ml;7891350034639
DESODORANTE AEROSSOL ABOVE TEEN BOY 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-teen-boy-150ml;7899674023254
DESODORANTE AEROSOL GIOVANNA BABY LOVELY 150ML;R$13,02;R$16,27;https://www.ultrafarma.com.br/desodorante-aerosol-giovanna-baby-lovely-150ml;7896044960072
DESODORANTE ANTITRANSPIRANTE AEROSOL NIVEA DRY IMPACT 150ML;R$14,26;R$15,84;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-dry-impact-48h-com-150ml;7791969016029
DESODORANTE AEROSOL NIVEA MEN ORIGINAL PROTECT 150ML;R$16,15;R$17,94;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-men-original-protect-150ml;4005900396938
DESODORANTE AEROSSOL FEMININO SUAVE HIDRATAÇÃO 150ML;R$9,44;R$11,11;https://www.ultrafarma.com.br/desodorante-aerossol-feminino-suave-hidratacao-150ml;7891150066816
DESODORANTE CARE WOMAN 150ML COMPRE 2UN - GANHE ESPONJA;R$19,80;R$45,00;https://www.ultrafarma.com.br/desodorante-care-woman-150ml-compre-2un-ganhe-esponja;
DESODORANTE AEROSSOL ADIDAS MASCULINO SPORT ENERGY COOL & DRY 72H 150ML;R$12,24;R$13,60;https://www.ultrafarma.com.br/desodorante-aerosol-adidas-masculino-sport-energy-cool-dry-72h-150ml;7892940000317
DESODORANTE AEROSSOL DOVE MEN CARE INVISIBLE DRY 150ML;R$16,10;R$18,94;https://www.ultrafarma.com.br/desodorante-aerosol-dove-men-care-invisible-dry-com-150ml;7791293022819
DESODORANTE AEROSOL NIVEA MASCULINO ACTIVE DRY FRESH 150ML;R$16,83;R$18,70;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-active-dry-fresh-150ml;4005900647481
DESODORANTE AEROSOL ADIDAS MASCULINO ADIPOWER 72H 150ML;R$12,19;R$13,54;https://www.ultrafarma.com.br/desodorante-aerosol-adidas-masculino-adipower-72h-com-150ml;7891350033083
DESODORANTE AEROSSOL ABOVE ONE ENERGY MASCULINO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-one-energy-masculino-150ml;7899674034274
DESODORANTE ANTITRASPIRANTE AEROSOL DOVE ORIGINAL FEMININO 250ML LEVE MAIS PAGUE MENOS;R$24,50;R$28,82;https://www.ultrafarma.com.br/desodorante-antitraspirante-aerosol-dove-original-feminino-250ml-leve-mais-pague-menos;7891150081239
DESODORANTE AEROSSOL NIVEA FEMININO SENSITIVE SEM PERFUME 150ML;R$16,15;R$17,94;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-sensitive-sem-perfume-com-150ml;4005808662388
DESODORANTE ANTITRANSPIRANTE AEROSOL NIVEA PROTECT & CARE 150ML;R$14,20;R$15,78;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-protect-care-com-150ml;4005900122186
