nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
CONDICIONADOR THINK VEGAN FORTIFICANTE JABORANDI & MENTA 300ML;R$25,80;R$28,67;https://www.ultrafarma.com.br/condicionador-think-vegan-fortificante-jaborandi-menta-300ml;609963442072
FISIOTON 400MG 30 COMPRIMIDOS;R$85,16;R$100,19;https://www.ultrafarma.com.br/fisioton-400-mg-com-30-comprimidos;7896658015106
LUT VISION 60 CÁPSULAS;R$41,58;R$94,95;https://www.ultrafarma.com.br/lut-vision-30-capsulas;7896112103752
Tio Nacho Shampoo ULTRA-HIDRATANTE, Óleo de Coco e Geleia real, cabelos nutridos e reparados, 415ml;R$30,54;R$33,93;https://www.ultrafarma.com.br/shampoo-tio-nacho-ultra-hidratante-coco-415ml;7898636191604
SADOL SOLUÇÃO ORAL SABOR TRADICIONAL 400ML;R$14,59;R$20,84;https://www.ultrafarma.com.br/sadol-adulto-com-400-ml;7896023702501
CREME DE TRATAMENTO NOVEX REPOSITOR DE MASSA 1KG;R$22,60;R$25,11;https://www.ultrafarma.com.br/creme-de-tratamento-novex-repositor-de-massa-com-1000-gramas;7896013539148
SADOL SOLUÇÃO ORAL SABOR CHOCOLATE 400ML;R$14,44;R$18,13;https://www.ultrafarma.com.br/sadol-chocolate-infantil-com-400-ml;7896023702761
MAQ DERMA 30 CÁPSULAS;R$88,90;R$99,50;https://www.ultrafarma.com.br/maq-derma-com-30-capsulas;7891317192402
LAVITAN A-Z MULHER 90 COMPRIMIDOS;R$18,84;R$49,52;https://www.ultrafarma.com.br/lavitan-mais-mulher-com-90-comprimidos;7897947612594
CENTROVIT 60 CÁPSULAS;R$47,68;R$59,60;https://www.ultrafarma.com.br/centrovit-com-60-capsulas;7898171789076
BAROVITALL KIT 5 FRASCOS;R$130,00;R$162,50;https://www.ultrafarma.com.br/barovitall-kit-com-5-frascos;7896108013027
VITA SUPRAZ HAIR 60 CÁPSULAS;R$37,62;R$98,90;https://www.ultrafarma.com.br/vita-supraz-hair-60-capsulas;7896006227021
HAIRSKIN & NAILS MEN 90 CÁPSULAS;R$50,26;R$62,83;https://www.ultrafarma.com.br/hairskin-nails-men-90-capsulas;7898593050532
OSTEOPREVIX EFF + VITAMINA D 10 COMPRIMIDOS EFERVESCENTES;R$15,96;R$40,84;https://www.ultrafarma.com.br/osteoprevix-eff-vitamina-d-10-comprimidos-efervescentes;7894164006205
VITAMINA C + ZINCO QUELATO - CEPON ZINCO 30 COMPRIMIDOS;R$19,45;R$19,46;https://www.ultrafarma.com.br/vitamina-c-zinco-quelato-cepon-zinco-30-comprimidos;7898048698845
MULTIVITAMÍNICO PHARMATON ENERGY 100 COMPRIMIDOS;R$196,77;R$210,00;https://www.ultrafarma.com.br/pharmaton-energy-100-comprimidos;7891058022648
FORT ENERGIA E VITALIDADE INOVE NUTRITION 60 CÁPSULAS;R$66,58;R$99,88;https://www.ultrafarma.com.br/fort-energia-e-vitalidade-60-capsulas;7898681160044
GINSENG BIONATUS 500MG 45 CÁPSULAS;R$48,41;R$69,15;https://www.ultrafarma.com.br/ginseng-bionatus-500-mg-com-45-capsulas;7896108002267
EXIMIA PROBIAC 60 COMPRIMIDOS;R$79,90;R$88,78;https://www.ultrafarma.com.br/eximia-probiac-60-comprimidos;7898040326357
SHAMPOO DOVE MEN CARE 2 EM 1 FORTIFICANTE PROTEÇÃO ANTICASPA 400ML;R$20,70;R$25,88;https://www.ultrafarma.com.br/shampoo-dove-men-care-fortificante-cafeina-zinco-protecao-anticaspa-400ml;7891150021716
SPRAY ENGROSSADOR TIO NACHO 120ML;R$31,63;R$35,14;https://www.ultrafarma.com.br/spray-engrossador-tio-nacho-capilgross-com-120ml;7898949409915
A-Z COMPLETO ANTI STRESS LEVE 180 CÁPSULAS + 60 GRÁTIS SIDNEY OLIVEIRA;R$61,83;R$171,00;https://www.ultrafarma.com.br/a-z-completo-anti-stress-sidney-oliveira-leve-180-capsulas-60-gratis;7898605841950
