nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
TALCO DESODORANTE PRAPÉ TÊNIS MENTA PÓ 100G;R$11,92;R$28,92;https://www.ultrafarma.com.br/talco-desodorante-prape-tenis-menta-po-100g;7894164005680
TALCO DESODORANTE PRAPÉ TÊNIS MENTA/CÂNFORA PÓ 100G;R$12,66;R$28,92;https://www.ultrafarma.com.br/talco-desodorante-prape-tenis-mentacanfora-po-100g;7894164005697
TALCO DESODORANTE PRAPÉ TÊNIS CÂNFORA PÓ 100G;R$9,90;R$14,43;https://www.ultrafarma.com.br/talco-desodorante-prape-tenis-canfora-po-100g;7894164005666
TALCO DESODORANTE PRAPÉ TÊNIS CÂNFORA PÓ 100G - 02 UNIDADES COMPRE MAIS PAGUE MENOS;R$13,95;R$28,86;https://www.ultrafarma.com.br/talco-desodorante-prape-tenis-canfora-po-100g-02-unidades;
TALCO DESODORANTE TÊNIS SEC PARA OS PÉS CANFORADO 100G;R$6,44;R$7,15;https://www.ultrafarma.com.br/talco-desodorante-tenis-sec-para-os-pes-canforado-100g;7896049540026
TALCO DESODORANTE TÊNIS SEC PARA OS PÉS TRADICIONAL 100G;R$6,44;R$7,15;https://www.ultrafarma.com.br/talco-desodorante-tenis-sec-para-os-pes-tradicional-100g;7896049540019
TALCO DESODORANTE PRAPÉ TÊNIS ALECRIM PÓ 100G;R$6,59;R$28,92;https://www.ultrafarma.com.br/talco-desodorante-prape-tenis-alecrim-po-100g;7894164005673
